Files already downloaded and verified
Files already downloaded and verified
[build] SpatialModulatedINR  base_inr_type=siren  is_spatial=True  phi_shape=(8, 8, 16)  phi_numel=1024
[makeset] train subset size: 50000
[makeset] test subset size: 10000
[makeset] checkpoint: model_cifar10/cifar10_spatial_warmvanilla_readout_cap50_lam1.0/modSiren.pth
[makeset] model_args: {'dataset': 'cifar10', 'hidden_dim': 256, 'mod_dim': 1024, 'depth': 6, 'height': 32, 'width': 32, 'out_features': 3, 'inr_type': 'siren', 'fourier_num_freqs': 64, 'fourier_sigma': 10.0, 'fourier_include_input': False, 'freq': 10.0, 'finer_first_bias_scale': 1.0, 'finer_scale_req_grad': False, 'lsa_num_harmonics': 8, 'lsa_init_scale': 0.001, 'lsa_include_linear': True, 'spatial_modulation': True, 'latent_spatial_dim': 8, 'latent_dim': 16, 'spatial_interp': 'nearest', 'use_local_coords': True, 'modulation_type': 'shift'}
[makeset] built model: SpatialModulatedINR
[makeset] modul_features: 1024
[makeset] hidden_features: 256
[makeset] coord_normalization: None

  0%|          | 0/50000 [00:00<?, ?it/s][makeset] first phi shape: (8, 8, 16) is_spatial: True

MSE: 0.002035717014223337:   0%|          | 0/50000 [00:03<?, ?it/s]
MSE: 0.002035717014223337:   0%|          | 1/50000 [00:03<47:43:37,  3.44s/it]
MSE: 0.0019062090432271361:   0%|          | 1/50000 [00:03<47:43:37,  3.44s/it]
MSE: 0.0011618740390986204:   0%|          | 1/50000 [00:03<47:43:37,  3.44s/it]
MSE: 0.0011618740390986204:   0%|          | 3/50000 [00:03<12:57:45,  1.07it/s]
MSE: 0.0006521471659652889:   0%|          | 3/50000 [00:03<12:57:45,  1.07it/s]
MSE: 0.0015155947767198086:   0%|          | 3/50000 [00:03<12:57:45,  1.07it/s]
MSE: 0.0015155947767198086:   0%|          | 5/50000 [00:03<6:40:58,  2.08it/s] 
MSE: 0.002975231735035777:   0%|          | 5/50000 [00:03<6:40:58,  2.08it/s] 
MSE: 0.0028414360713213682:   0%|          | 5/50000 [00:03<6:40:58,  2.08it/s]
MSE: 0.0028414360713213682:   0%|          | 7/50000 [00:03<4:12:09,  3.30it/s]
MSE: 0.0020794272422790527:   0%|          | 7/50000 [00:03<4:12:09,  3.30it/s]
MSE: 0.0010704363230615854:   0%|          | 7/50000 [00:03<4:12:09,  3.30it/s]
MSE: 0.0010704363230615854:   0%|          | 9/50000 [00:03<2:54:51,  4.76it/s]
MSE: 0.0006988061941228807:   0%|          | 9/50000 [00:03<2:54:51,  4.76it/s]
MSE: 0.00041354011045768857:   0%|          | 9/50000 [00:04<2:54:51,  4.76it/s]
MSE: 0.00041354011045768857:   0%|          | 11/50000 [00:04<2:11:25,  6.34it/s]
MSE: 0.0014407694106921554:   0%|          | 11/50000 [00:04<2:11:25,  6.34it/s] 
MSE: 0.0011421067174524069:   0%|          | 11/50000 [00:04<2:11:25,  6.34it/s]
MSE: 0.0011421067174524069:   0%|          | 13/50000 [00:04<1:44:18,  7.99it/s]
MSE: 0.0011307460954412818:   0%|          | 13/50000 [00:04<1:44:18,  7.99it/s]
MSE: 0.0022045907098799944:   0%|          | 13/50000 [00:04<1:44:18,  7.99it/s]
MSE: 0.0022045907098799944:   0%|          | 15/50000 [00:04<1:27:59,  9.47it/s]
MSE: 0.0011221703607589006:   0%|          | 15/50000 [00:04<1:27:59,  9.47it/s]
MSE: 0.0012267723213881254:   0%|          | 15/50000 [00:04<1:27:59,  9.47it/s]
MSE: 0.0012267723213881254:   0%|          | 17/50000 [00:04<1:16:04, 10.95it/s]
MSE: 0.0009741419926285744:   0%|          | 17/50000 [00:04<1:16:04, 10.95it/s]
MSE: 0.0006944520864635706:   0%|          | 17/50000 [00:04<1:16:04, 10.95it/s]
MSE: 0.0006944520864635706:   0%|          | 19/50000 [00:04<1:07:04, 12.42it/s]
MSE: 0.0017719510942697525:   0%|          | 19/50000 [00:04<1:07:04, 12.42it/s]
MSE: 0.0007636537775397301:   0%|          | 19/50000 [00:04<1:07:04, 12.42it/s]
MSE: 0.0007636537775397301:   0%|          | 21/50000 [00:04<1:00:48, 13.70it/s]
MSE: 0.005494249518960714:   0%|          | 21/50000 [00:04<1:00:48, 13.70it/s] 
MSE: 0.0008855997584760189:   0%|          | 21/50000 [00:04<1:00:48, 13.70it/s]
